Unnamed: 0,#CASE,DOF_PITCH_BC_,DOF_BETA1_GEOM_,DOF_BETA2_GEOM_,DOF_W1_GEOM_,DOF_W2_GEOM_,DOF_TMOVXU_GEOM_,DOF_TMOVXL_GEOM_,OF_alfa_ex_OP_01,OF_Cpt_OP_01,OF_CSI_OP_01,OF_phi_OP_01,OF_psi_OP_01,OF_Zwi_OP_01,OF_Zwc_OP_01,OF_DFss_mis_OP_01,OF_DFss_cp_OP_01,OF_Mis_peak_OP_01,OF_s_peak_OP_01,OF_s_diff_dim_OP_01,OF_s_tot_SS_OP_01,OF_Tmax_OP_01,OF_X_Tmax_OP_01
59,1205,0.08942630662,9.970703,-69.58496,0.3738281,0.3120117,0.02072754,0.1533447,-62.548,0.02619,0.02445,0.5718891185,1.201678963,0.8010870778,0.7657862932,1.2182,0.9528,0.4687,0.7422,0.03722,0.1444,0.0122121386,0.264860034
60,1209,0.1044854864,11.2207,-63.95996,0.02382813,0.6245117,0.04260254,-0.1310303,-62.843,0.02536,0.02368,0.5639967839,1.1988957,0.9289927928,0.888090033,1.1633,0.9634,0.4597,0.5695,0.06666,0.1548,0.012078993,0.230140001
61,1253,0.0997756545,16.68945,-63.25684,0.03007813,0.7885742,-0.04763184,-0.1118896,-62.252,0.02637,0.02462,0.5798710266,1.204493815,0.9010648239,0.8613266714,1.1274,0.9713,0.4493,0.587,0.06382,0.1545,0.0122795515,0.185535043
62,1279,0.1197440731,12.31445,-67.94434,0.05507813,0.8823242,0.1820557,0.03029785,-65.404,0.02768,0.02585,0.4979421577,1.175601274,0.982748096,0.939799763,1.2565,0.9448,0.4791,0.5269,0.07732,0.1634,0.01217659,0.3205401
63,1285,0.1154378728,6.650391,-66.90918,0.1285156,0.1303711,0.07062988,0.08840332,-61.244,0.0234,0.02185,0.6075408821,1.214251699,1.07194405,1.024550935,1.2851,0.9385,0.4884,0.5857,0.06238,0.1506,0.0123188654,0.28294009
64,1319,0.09022748618,0.7128906,-63.94043,0.2910156,0.7709961,-0.0004638672,0.1485596,-59.513,0.02631,0.02456,0.6569364353,1.231671236,0.874711577,0.8358751797,1.1486,0.9666,0.4561,0.7209,0.03988,0.1429,0.0121803014,0.256000012
65,1323,0.1029522469,19.46289,-69.56543,0.1410156,0.08349609,0.06516113,-0.1358154,-63.43,0.02466,0.02302,0.5484737756,1.19342145,0.8980388126,0.8585641813,1.2731,0.9422,0.4798,0.6621,0.05079,0.1503,0.0120135499,0.242935076
66,1349,0.1085775643,3.056641,-64.95605,0.09726562,0.9975586,0.1991455,-0.1494873,-63.417,0.02761,0.02578,0.5488149886,1.19354178,0.9497256765,0.9079744261,1.1946,0.957,0.4662,0.5432,0.07154,0.1566,0.0116365468,0.310959876
67,1399,0.1045991566,12.74414,-67.6123,0.1097656,0.2631836,-0.02507324,-0.1112061,-62.616,0.02452,0.02289,0.5700643677,1.201035458,0.9351185919,0.8939210011,1.228,0.9509,0.4705,0.6521,0.05264,0.1513,0.0122506171,0.197339982
68,1427,0.09680819304,2.822266,-62.88574,0.1691406,0.6967773,0.01730957,0.01320801,-59.614,0.02533,0.02364,0.6539852959,1.230630505,0.9364167834,0.8948522524,1.1494,0.9664,0.4566,0.6496,0.05101,0.1455,0.0123206414,0.242935121
